name,category,popularity,popularity_change,ctr,cvr,cpa,score,page,scraped_at
"Cases, Screen Protectors & Stickers","Phones & Electronics/Phone Accessories/Cases, Screen Protectors & Stickers",2K,-14%,5.89%,12.71%,0.97 USD,65.5,1,2026-03-22T20:20:31.176544
Frames & Glasses,Fashion Accessories/Eyewear/Frames & Glasses,730,-3%,6.56%,9.36%,0.82 USD,54.1,1,2026-03-22T20:20:31.411285
Household Cleaners,Home Supplies/Home Care Supplies/Household Cleaners,558,-6%,3.37%,14.38%,0.99 USD,54.1,1,2026-03-22T20:20:31.791506
Earphones & Headphones,Phones & Electronics/Audio & Video/Earphones & Headphones,636,-7%,4.72%,11.01%,1.13 USD,50.8,1,2026-03-22T20:20:31.585293
T-Shirts,Menswear & Men's Underwear/Men's Tops/T-Shirts,1K,-9%,5.65%,9.04%,0.85 USD,50.7,1,2026-03-22T20:20:31.208279
Sunglasses,Fashion Accessories/Eyewear/Sunglasses,563,-2%,6.93%,7.68%,0.97 USD,50.5,1,2026-03-22T20:20:31.758419
Body Creams & Lotions,Beauty & Personal Care/Bath & Body Care/Body Creams & Lotions,649,-5%,6.84%,7.23%,1.46 USD,49.2,1,2026-03-22T20:20:31.555358
Moisturisers & Mists,Beauty & Personal Care/Skincare/Moisturisers & Mists,851,84%,5.56%,8.23%,1.08 USD,47.6,1,2026-03-22T20:20:31.352763
Sandals & Flip Flops,Shoes/Women's Shoes/Sandals & Flip Flops,599,6%,5.01%,8.67%,0.84 USD,45.6,1,2026-03-22T20:20:31.721526
Facial Sunscreen & Sun Care,Beauty & Personal Care/Skincare/Facial Sunscreen & Sun Care,727,-3%,4.69%,8.92%,1.64 USD,45.5,1,2026-03-22T20:20:31.455837
Shorts,Menswear & Men's Underwear/Men's Bottoms/Shorts,610,1%,5.36%,8.04%,0.96 USD,45.3,1,2026-03-22T20:20:31.683251
Concealer & Foundation,Beauty & Personal Care/Makeup & Perfume/Concealer & Foundation,650,48%,6.52%,5.5%,2.24 USD,43.3,1,2026-03-22T20:20:31.514329
Lipstick & Lip Gloss,Beauty & Personal Care/Makeup & Perfume/Lipstick & Lip Gloss,2K,21%,4.41%,6.5%,1.69 USD,43.0,1,2026-03-22T20:20:31.141404
Perfume,Beauty & Personal Care/Makeup & Perfume/Perfume,1K,-5%,6.98%,3.74%,1.46 USD,41.9,1,2026-03-22T20:20:31.241121
Crossbody & Shoulder Bags,Luggage & Bags/Men's Bags/Crossbody & Shoulder Bags,612,-15%,4.88%,6.69%,0.95 USD,39.8,1,2026-03-22T20:20:31.651281
Body Wash & Soap,Beauty & Personal Care/Bath & Body Care/Body Wash & Soap,982,3%,3.19%,8.11%,1.50 USD,38.3,1,2026-03-22T20:20:31.274377
Serums & Essences,Beauty & Personal Care/Skincare/Serums & Essences,862,12%,3.61%,7.26%,1.75 USD,37.2,1,2026-03-22T20:20:31.311119
Acne Treatments,Beauty & Personal Care/Skincare/Acne Treatments,836,1%,5.39%,3.98%,2.42 USD,35.5,1,2026-03-22T20:20:31.385289
Casual Dresses,Womenswear & Women's Underwear/Women's Dresses/Casual Dresses,665,2%,4.85%,4.56%,1.03 USD,34.2,1,2026-03-22T20:20:31.486316
Shampoo & Conditioner,Beauty & Personal Care/Hair Care & Styling/Shampoo & Conditioner,634,-6%,1.08%,6.14%,4.16 USD,23.2,1,2026-03-22T20:20:31.613170
